
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 12-Apr-2024 at 08:06:59.

 
 
 
      Time        ANCHTEN1        ANCHTEN2        ANCHTEN3        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.0000   1.6641740E+06   1.2276645E+06   1.2276645E+06   2.7651700E+06   2.3021388E+06   2.3021388E+06
    0.0125   1.6638390E+06   1.2277085E+06   1.2277085E+06   2.7426802E+06   2.3161020E+06   2.3141122E+06
    0.0250   1.6634949E+06   1.2277431E+06   1.2277431E+06   2.7393382E+06   2.3176165E+06   2.3156002E+06
    0.0375   1.6631422E+06   1.2277682E+06   1.2277682E+06   2.7285530E+06   2.3240578E+06   2.3215420E+06
    0.0500   1.6627816E+06   1.2277838E+06   1.2277838E+06   2.7181568E+06   2.3297528E+06   2.3271105E+06
    0.0625   1.6624139E+06   1.2277898E+06   1.2277898E+06   2.7086680E+06   2.3347375E+06   2.3323938E+06
    0.0750   1.6620394E+06   1.2277861E+06   1.2277861E+06   2.7004635E+06   2.3386760E+06   2.3371072E+06
    0.0875   1.6616590E+06   1.2277728E+06   1.2277728E+06   2.6936598E+06   2.3414998E+06   2.3411708E+06
    0.1000   1.6612731E+06   1.2277496E+06   1.2277496E+06   2.6883342E+06   2.3431865E+06   2.3445195E+06
    0.1125   1.6608826E+06   1.2277169E+06   1.2277169E+06   2.6845025E+06   2.3437565E+06   2.3471010E+06
    0.1250   1.6604880E+06   1.2276744E+06   1.2276744E+06   2.6821212E+06   2.3432770E+06   2.3488965E+06
    0.1375   1.6600901E+06   1.2276224E+06   1.2276224E+06   2.6810948E+06   2.3418515E+06   2.3499130E+06
    0.1500   1.6596896E+06   1.2275608E+06   1.2275608E+06   2.6812812E+06   2.3396120E+06   2.3501860E+06
    0.1625   1.6592872E+06   1.2274895E+06   1.2274895E+06   2.6824935E+06   2.3367152E+06   2.3497832E+06
    0.1750   1.6588836E+06   1.2274089E+06   1.2274089E+06   2.6845142E+06   2.3333300E+06   2.3487945E+06
    0.1875   1.6584794E+06   1.2273190E+06   1.2273190E+06   2.6871040E+06   2.3296332E+06   2.3473302E+06
    0.2000   1.6580754E+06   1.2272200E+06   1.2272200E+06   2.6900062E+06   2.3258078E+06   2.3455175E+06
    0.2125   1.6576720E+06   1.2271121E+06   1.2271121E+06   2.6929638E+06   2.3220302E+06   2.3434890E+06
    0.2250   1.6572688E+06   1.2269964E+06   1.2269961E+06   2.6957282E+06   2.3184695E+06   2.3413772E+06
    0.2375   1.6568625E+06   1.2268750E+06   1.2268741E+06   2.6980655E+06   2.3152842E+06   2.3393095E+06
    0.2500   1.6564439E+06   1.2267542E+06   1.2267516E+06   2.6997720E+06   2.3126145E+06   2.3373998E+06
    0.2625   1.6559891E+06   1.2266489E+06   1.2266411E+06   2.7006758E+06   2.3105812E+06   2.3357480E+06
    0.2750   1.6554501E+06   1.2265880E+06   1.2265684E+06   2.7006482E+06   2.3092795E+06   2.3344332E+06
    0.2875   1.6547396E+06   1.2266238E+06   1.2265791E+06   2.6996038E+06   2.3087770E+06   2.3335178E+06
    0.3000   1.6537201E+06   1.2268372E+06   1.2267454E+06   2.6975052E+06   2.3091092E+06   2.3330425E+06
    0.3125   1.6521994E+06   1.2273402E+06   1.2271680E+06   2.6943638E+06   2.3102770E+06   2.3330305E+06
    0.3250   1.6499398E+06   1.2282676E+06   1.2279715E+06   2.6902365E+06   2.3122450E+06   2.3334868E+06
    0.3375   1.6466852E+06   1.2297604E+06   1.2292904E+06   2.6852250E+06   2.3149418E+06   2.3343988E+06
    0.3500   1.6422010E+06   1.2319396E+06   1.2312491E+06   2.6794715E+06   2.3182602E+06   2.3357378E+06
    0.3625   1.6363201E+06   1.2348782E+06   1.2339375E+06   2.6731508E+06   2.3220642E+06   2.3374585E+06
    0.3750   1.6289862E+06   1.2385761E+06   1.2373896E+06   2.6664662E+06   2.3261925E+06   2.3395002E+06
    0.3875   1.6202794E+06   1.2429451E+06   1.2415689E+06   2.6596408E+06   2.3304675E+06   2.3417868E+06
    0.4000   1.6104221E+06   1.2478096E+06   1.2463654E+06   2.6529078E+06   2.3347045E+06   2.3442255E+06
    0.4125   1.5997622E+06   1.2529208E+06   1.2516035E+06   2.6465032E+06   2.3387215E+06   2.3467120E+06
    0.4250   1.5887378E+06   1.2579809E+06   1.2570590E+06   2.6406542E+06   2.3423485E+06   2.3491305E+06
    0.4375   1.5778311E+06   1.2626766E+06   1.2624816E+06   2.6355738E+06   2.3454340E+06   2.3513565E+06
    0.4500   1.5675222E+06   1.2667092E+06   1.2676188E+06   2.6314490E+06   2.3478552E+06   2.3532622E+06
    0.4625   1.5582450E+06   1.2698236E+06   1.2722368E+06   2.6284355E+06   2.3495195E+06   2.3547220E+06
    0.4750   1.5503551E+06   1.2718278E+06   1.2761382E+06   2.6266528E+06   2.3503678E+06   2.3556185E+06
    0.4875   1.5441081E+06   1.2726052E+06   1.2791734E+06   2.6261765E+06   2.3503775E+06   2.3558485E+06
    0.5000   1.5396495E+06   1.2721191E+06   1.2812469E+06   2.6270390E+06   2.3495572E+06   2.3553305E+06
    0.5125   1.5370142E+06   1.2704089E+06   1.2823189E+06   2.6292262E+06   2.3479472E+06   2.3540092E+06
    0.5250   1.5361336E+06   1.2675828E+06   1.2824035E+06   2.6326778E+06   2.3456162E+06   2.3518618E+06
    0.5375   1.5368480E+06   1.2638064E+06   1.2815640E+06   2.6372922E+06   2.3426528E+06   2.3488970E+06
    0.5500   1.5389220E+06   1.2592900E+06   1.2799056E+06   2.6429265E+06   2.3391672E+06   2.3451610E+06
    0.5625   1.5420622E+06   1.2542748E+06   1.2775675E+06   2.6494070E+06   2.3352805E+06   2.3407310E+06
    0.5750   1.5459356E+06   1.2490190E+06   1.2747141E+06   2.6565272E+06   2.3311268E+06   2.3357175E+06
    0.5875   1.5501875E+06   1.2437858E+06   1.2715254E+06   2.6640610E+06   2.3268460E+06   2.3302570E+06
    0.6000   1.5544596E+06   1.2388306E+06   1.2681876E+06   2.6717685E+06   2.3225795E+06   2.3245052E+06
    0.6125   1.5584062E+06   1.2343914E+06   1.2648848E+06   2.6793985E+06   2.3184725E+06   2.3186348E+06
    0.6250   1.5617099E+06   1.2306782E+06   1.2617899E+06   2.6867018E+06   2.3146648E+06   2.3128240E+06
    0.6375   1.5640936E+06   1.2278662E+06   1.2590581E+06   2.6934328E+06   2.3112920E+06   2.3072548E+06
    0.6500   1.5653334E+06   1.2260884E+06   1.2568214E+06   2.6993582E+06   2.3084815E+06   2.3021028E+06
    0.6625   1.5652651E+06   1.2254309E+06   1.2551832E+06   2.7042635E+06   2.3063472E+06   2.2975345E+06
    0.6750   1.5637920E+06   1.2259300E+06   1.2542161E+06   2.7079585E+06   2.3049865E+06   2.2937000E+06
    0.6875   1.5608868E+06   1.2275704E+06   1.2539598E+06   2.7102892E+06   2.3044725E+06   2.2907275E+06
    0.7000   1.5565922E+06   1.2302862E+06   1.2544209E+06   2.7111432E+06   2.3048502E+06   2.2887182E+06
    0.7125   1.5510191E+06   1.2339636E+06   1.2555734E+06   2.7104605E+06   2.3061288E+06   2.2877408E+06
    0.7250   1.5443406E+06   1.2384459E+06   1.2573601E+06   2.7082415E+06   2.3082772E+06   2.2878262E+06
    0.7375   1.5367849E+06   1.2435399E+06   1.2596955E+06   2.7045530E+06   2.3112212E+06   2.2889632E+06
    0.7500   1.5286259E+06   1.2490248E+06   1.2624681E+06   2.6995332E+06   2.3148420E+06   2.2910965E+06
    0.7625   1.5201715E+06   1.2546620E+06   1.2655445E+06   2.6933910E+06   2.3189782E+06   2.2941238E+06
